1,7,15,32,34,42
2,9,10,14,22,44
4,12,14,25,35,37
7,8,9,17,22,24
1,2,11,16,39,44
22,26,31,37,41,42
3,6,17,23,37,39
2,6,17,18,21,26
9,11,16,21,28,36
3,9,10,29,40,45
2,5,12,14,24,39
1,6,13,37,38,40
1,21,25,29,34,37
2,13,25,28,29,36
6,21,36,38,39,43
6,12,19,23,34,42
1,18,28,31,34,43
11,20,29,31,33,42
2,18,24,30,32,45
1,14,15,24,40,41
2,9,10,16,35,37
4,15,24,35,36,40
10,11,20,21,25,41
4,9,23,26,29,33
1,9,26,28,30,41
7,9,22,27,37,42
4,12,22,24,33,41
2,12,30,31,39,43
3,4,15,22,28,40
14,21,35,36,40,44
13,18,30,31,38,41
3,8,17,20,27,35
9,18,19,30,34,40
9,10,15,30,33,37
2,13,16,19,32,33
1,8,13,36,44,45
10,12,18,35,42,43
12,14,25,27,39,40
3,15,20,22,24,41
4,11,28,39,42,45
4,8,10,16,31,36
2,10,13,22,29,40
7,11,13,17,18,29
4,10,20,32,38,44
1,3,30,33,36,39
23,27,29,31,36,45
1,6,15,36,37,38
14,15,23,25,35,43
8,21,25,38,39,44
7,9,12,15,19,23
3,4,10,20,28,44
4,15,22,38,41,43
10,16,18,20,25,31
13,24,32,34,39,42
3,11,34,42,43,44
3,17,18,23,36,41
2,6,13,17,27,43
5,7,12,22,28,41
2,3,26,33,34,43
9,14,17,18,42,44
7,11,12,31,33,38
1,3,23,24,27,43
6,21,22,32,35,36
2,6,11,13,22,37
16,19,24,33,42,44
6,14,16,21,27,37
5,8,18,21,22,38
4,5,12,14,32,42
1,11,17,27,35,39
7,24,29,30,34,35
3,16,21,22,23,44
21,27,29,38,40,44
2,5,14,28,31,32
3,4,16,27,38,40
2,6,8,26,43,45
2,15,16,21,22,28
7,19,23,24,36,39
5,18,20,23,30,34
7,13,16,18,35,38
8,19,20,21,33,39
18,21,28,35,37,42
6,7,12,22,26,36
5,12,25,26,38,45
16,26,31,38,39,41
19,32,37,40,41,43
1,15,17,23,25,41
4,9,17,18,26,42
9,13,28,31,39,41
1,4,14,18,29,37
3,13,29,38,39,42
3,7,12,31,34,38
8,14,17,27,36,45
19,23,28,37,42,45
1,3,24,27,39,45
4,14,23,28,37,45
9,18,32,33,37,44
18,34,39,43,44,45
4,18,20,26,27,32
7,17,19,23,24,45
1,4,10,14,15,35
2,6,11,16,25,31
5,17,18,22,23,43
5,16,21,26,34,42
19,22,30,34,39,44
1,15,19,23,28,42
3,5,12,13,33,39
2,4,30,32,33,43
2,6,12,26,30,34
21,25,30,32,40,42
2,6,20,27,37,39
12,17,28,41,43,44
14,17,19,22,24,40
9,15,29,34,37,39
3,15,22,32,33,45
3,7,10,13,25,36
16,21,28,35,39,43
10,34,38,40,42,43
11,17,19,21,22,25
4,8,18,25,27,32
8,22,35,38,39,41
9,13,32,38,39,43
6,10,16,28,34,38
10,24,40,41,43,44
8,15,17,19,43,44
20,25,31,32,36,43
2,8,23,26,27,44
11,17,28,30,33,35
14,18,22,26,31,44
16,20,24,28,36,39
5,13,17,29,34,39
1,2,16,22,38,39
12,16,26,28,30,42
5,18,30,41,43,45
1,16,29,33,40,45
7,8,13,15,33,45
19,21,30,33,34,42
14,26,32,36,39,42
5,11,14,30,33,38
2,4,11,28,29,43
3,9,11,12,13,19
9,14,17,33,36,38
2,25,28,30,33,45
1,9,11,14,26,28
9,10,13,28,38,45
6,8,18,35,42,43
12,18,30,39,41,42
13,14,19,26,40,43
3,10,16,19,31,39
5,6,16,18,37,38
4,5,31,35,43,45
4,7,13,29,31,39
5,11,12,29,33,44
13,16,24,25,33,36
8,15,21,31,33,38
7,9,24,29,34,38
12,18,24,26,39,40
9,18,20,24,27,36
1,12,13,24,29,44
10,21,22,30,35,42
16,25,33,38,40,45
14,15,25,28,29,30
3,9,12,13,25,43
12,18,19,29,31,39
17,21,25,26,27,36
2,21,28,38,42,45
11,30,34,35,42,44
1,3,12,14,16,43
8,11,19,21,36,45
5,10,13,21,39,43
6,11,15,17,23,40
15,21,31,32,41,43
6,10,18,25,34,35
14,20,23,31,37,38
3,12,13,18,31,32
1,10,13,26,32,36
5,9,14,26,30,43
10,11,12,18,24,42
17,25,28,37,43,44
1,4,10,12,28,45
12,17,23,34,42,45
2,10,14,22,32,36
5,22,31,32,39,45
1,21,26,36,40,41
3,10,13,26,34,38
6,7,18,19,30,38
10,15,21,35,38,43
2,7,19,25,29,36
2,10,12,31,33,42
3,8,19,27,30,41
2,6,7,12,19,45
2,10,11,19,35,39
5,6,13,16,27,28
12,15,16,20,24,30
4,6,15,25,26,33
3,10,23,24,31,39
14,15,16,17,38,45
6,18,31,34,38,45
11,16,18,19,24,39
15,17,19,21,27,45
6,12,19,24,34,41
6,21,35,36,37,41
6,12,17,21,34,37
8,9,18,21,28,40
11,12,29,33,38,42
12,15,18,28,34,42
8,12,19,21,31,35
5,6,11,14,21,41
6,10,17,18,21,29
1,9,12,23,39,43
5,7,11,16,41,45
7,27,29,30,38,44
5,15,20,31,34,42
9,30,34,35,39,41
1,3,8,12,42,43
7,22,24,31,34,36
3,8,16,32,34,43
1,3,12,21,26,41
4,7,11,24,42,45
10,22,27,31,42,43
9,33,36,40,42,43
5,9,12,30,39,43
